Baked Italian Herb Tofu with Pita (VE) with Lettuce and Tomato (VE), Cavatappi Pasta and Broccoli (VE), Vegetable Couscous (VE), Italian Roasted Cauliflower (VE), Steamed Corn (VE)	5
Baked Sesame Tofu (VE), Southwest Vegan Chicken (V), Steamed Rice(VE), Wilted Kale (VE), Roasted Cauliflower (VE)	4
BBQ Tofu Po'Boys (VE), with French Bread (VE), Lettuce, Tomato, Pickles and Onions (VE), Vegetarian Hot Dogs (V), Cajun Risotto (VE), and Peas & Carrots (VE)	5
Caprese Pizza (V), Zaatar Vegetable Pizza (VE), Pesto vegetable Pizza (V), Sweet Potato Fries (VE), Roasted Corn Cobblet (VE)	5
Cheese Tortellini with Fresh Vegetables and Pesto (V).	6
Cinnamon Apple Pancake (V), Hash Brown Potatoes (VE), Boiled Eggs (V), Scramble Eggs (V), Egg Whites on Request (V), Broccoli-Mushroom Quiche (V) Vegetable Sausage Patties (V), and Roasted Asparagus (VE)	6
Eggplant Parmesan (V), Vegan Chicken Cutlet (VE), Vegan Mashed Potatoes (VE), Steamed Broccoli (VE), Corn (VE)	7
French Toast (V), Potato Tots (VE), Boiled Eggs (V), Scramble Eggs (V), Egg Whites on Request (V), Vegan Nuggets (V) with Honey mustard (V), and BBQ Sauce (VE), & Broccoli & Cauliflower (VE)	6
Fresh House Made Pasta (VE), Accompanied by Roasted peppers (VE) Crispy Tofu (V), Steamed Broccoli (VE) Roasted Corn (VE), Eggplant Meatballs (V), House Made Marinara Sauce (VE) House Made Pesto Sauce (V) House Made Alfredo Sauce(V) Garlic Bread (VE)	7
Fresh House Made Pasta (VE), Accompanied by Roasted peppers (VE) Crispy Tofu (V), Steamed Broccoli (VE) Roasted Corn (VE), Eggplant Meatballs (V), House Made Marinara Sauce (VE) House Made Pesto Sauce (V) House Made Alfredo Sauce(V) Garlic Bread (VE) Gluten Free Pasta Available Upon Request (VE)	6
Fresh Pasta (VE), with Pesto Cream sauce (V)	6
Fresh Pasta with Marinara Sauce (VE)	5
House Made Fresh Pasta (VE) Served with Fresh Broccoli (VE), Roasted Corn (VE), Roasted Peppers (VE), Eggplant Meatballs (V), Crispy Tofu (V), House Made Marinara Sauce (VE), House Made Pesto Sauce (V), House Made Alfredo Sauce (V) and Garlic Bread (VE)	6
Kung Pao Tofu (VE), Vegetarian Eggrolls (V), Duck Sauce (VE), Steamed Basmati Rice (VE), Steamed Bok Choy Drizzled with Garlic Soy Sauce (VE), and Fortune Cookies	6
Macaroni and Cheese (V)	6
Marinated Asian Tofu (VE), Vegetarian Eggrolls (V), with Duck Sauce (VE), Vegan Vegetable Fried Rice (VE), Steamed Kale (VE), Roasted Tomatoes (VE)	6
Mushroom and Caramelized onion Shepherd's pie (V), Lentil Rice Cakes (V), with Tomato Salsa (VE), Roasted Carrots and Brussels sprouts (VE) and Corn O'Brien	6
Pasta Bake (V)	5
Pasta Caprese (V)	6
Pasta Fagoile with Escarole (VE).	4
Pasta with Blue Cheese and Walnuts (V).	4
Penn with Herbs, Tomatoes and Peas (VE)	6
Quinoa and Black Beans (VE)	5
Rice Noodles (VE)	6
Roasted Chickpeas Pita Sandwich (VE), with Arugula and Tomatoes (VE), Lime Tzatziki (V), Quinoa Asparagus cakes (V), Sweet Potato fries (VE), Braised Napa cabbage (VE)	6
Seitan Stir Fry with Black Bean Garlic Sauce (VE), Vegetarian Eggrolls (V), Wilted Kale (VE), Jasmine Rice (VE)	6
Sesame Rice Noodles (VE)	5
Shanghai Style Vegetable Noodles (V)	7
Sicilian Broccoli & Cauliflower Pasta (VE)	5
Southwest Tofu with Tomatillo Pico de Gallo (VE), Grilled Falafel Burger (V), Baked Sweet Potato (VE), Wilted Spinach (VE), Corn (VE)	6
Spinach and Feta Pasta (V).	5
Swiss Chard, Fennel and White Bean Gratin (V)	4
Tomato and Asparagus Carbonara (V)	5
Vegan Stuffed Peppers (VE), Dill Baked Tofu (VE), Diced Potatoes with Chickpeas (VE), Wilted Spinach (VE), and Roasted squash Medley (VE)	5
Vegan taco Bar (VE), Soy Burger Crumble (VE), Tofu Crumble (VE), Black Beans (VE), with Lettuce & Tomato (VE), Cheddar Cheese (V), Spanish Rice (VE), Fresh Cut French Fries (VE), and Roasted Corn (VE), Corn Taco Shell (VE) and Flour Tortilla (VE)	7
Vegan Wicked White Beans (VE)	6
White Bean Cassolet (VE)	3
White Bean with broccoli Rabe and lemon (V).	4

"Greek God s" Pasta (V)	6
